,CI,02,04,06,08,13,19,24,31,32,36,39,40,42,46,48,49,56,65,69,70,88,A4,A5,A6,B3,B7,D2,D4,D7,P86,RE,CD
70,89.43666666666667,3.07,27.116666666666667,41.02333333333333,2.68,43.03666666666666,19.641666666666666,43.52166666666667,3.951666666666666,40.38333333333333,42.29833333333333,41.04333333333333,42.126666666666665,39.205000000000005,41.57,5.54,2.5816666666666666,7.194999999999999,40.67833333333333,42.37,0.0,30.90666666666667,41.08166666666667,27.19333333333333,30.168333333333333,41.91333333333333,41.945,42.71833333333333,43.06666666666667,41.295,41.91166666666666,41.69166666666667,92.105
88,69.23333333333333,28.371666666666663,5.598333333333333,30.75333333333333,27.44333333333333,32.76833333333333,14.961666666666668,33.25333333333334,29.25333333333333,10.12,12.035,30.775,11.863333333333332,8.941666666666666,31.301666666666662,30.841666666666665,26.471666666666668,32.49666666666666,30.41,32.10166666666667,28.55,0.0,10.818333333333332,3.228333333333333,2.208333333333333,11.65,11.681666666666668,12.455,32.79833333333333,31.026666666666664,31.64333333333333,11.428333333333336,71.90166666666667
A4,72.90333333333334,39.641666666666666,16.87,22.735,38.715,24.74833333333333,21.33,25.23333333333333,40.52333333333333,2.1,2.9066666666666667,22.755,2.2583333333333333,6.163333333333333,23.28166666666667,42.11333333333334,37.74333333333333,43.76833333333333,22.39,24.081666666666667,40.385,11.558333333333334,0.0,14.498333333333331,13.48,1.0799999999999998,1.1133333333333333,3.066666666666667,24.77833333333333,23.006666666666668,23.62333333333333,0.86,75.57166666666667
A5,75.03500000000001,25.855,3.9916666666666663,34.44666666666667,24.92833333333333,36.46,14.761666666666668,36.94666666666667,26.736666666666668,13.811666666666667,15.726666666666668,34.46666666666667,15.555,12.633333333333333,34.995,28.326666666666664,23.956666666666667,29.98166666666667,34.10166666666667,35.794999999999995,26.035,7.781666666666666,14.511666666666668,0.0,7.043333333333334,15.341666666666669,15.375,16.148333333333333,36.49,34.72,35.335,15.121666666666666,77.70333333333333
A6,72.2,29.22833333333333,6.456666666666666,31.611666666666668,28.301666666666662,33.626666666666665,15.818333333333332,34.111666666666665,30.11,10.978333333333332,12.893333333333334,31.633333333333333,12.72,9.798333333333334,32.16,31.7,27.33,33.355,31.26833333333333,32.96,29.40833333333333,4.948333333333333,11.676666666666668,4.086666666666667,0.0,12.508333333333333,12.54,13.313333333333333,33.656666666666666,31.885,32.5,12.286666666666669,74.86833333333334
B3,73.27833333333334,40.016666666666666,17.245,22.941666666666663,39.09,24.956666666666667,23.511666666666667,25.441666666666663,40.89833333333333,2.6266666666666665,3.2816666666666667,22.96333333333333,1.4533333333333334,6.538333333333333,23.49,42.48833333333334,38.11833333333333,44.14333333333333,22.598333333333336,24.290000000000003,42.568333333333335,11.933333333333334,0.995,14.873333333333331,13.855,0.0,0.0316666666666666,3.441666666666667,24.986666666666668,23.215,23.83,1.163333333333333,75.94666666666667
B7,73.24499999999999,39.985,17.21333333333333,22.91,39.056666666666665,24.925,23.48,25.41,40.86666666666667,2.658333333333333,3.248333333333333,22.93166666666667,1.4216666666666666,6.506666666666666,23.45833333333333,42.455000000000005,38.086666666666666,44.11,22.565,24.258333333333333,42.535,11.9,1.0266666666666666,14.841666666666669,13.821666666666664,0.0316666666666666,0.0,3.41,24.955,23.183333333333334,23.798333333333336,1.195,75.91333333333334
D2,72.66833333333334,39.406666666666666,16.635,23.94,38.48,25.953333333333333,22.90333333333333,26.44,40.29,5.263333333333334,1.528333333333333,23.96,2.72,5.928333333333333,24.488333333333333,41.87833333333333,37.50833333333333,43.53333333333333,23.595,25.28833333333333,41.958333333333336,11.323333333333332,3.165,14.265,13.245,3.398333333333333,3.365,0.0,25.98333333333333,24.21333333333333,24.828333333333333,3.1866666666666665,75.33666666666666
D4,91.28,46.44166666666667,35.248333333333335,1.7666666666666666,45.515,1.0266666666666666,28.18,0.455,47.325,22.535,21.285,1.788333333333333,19.541666666666668,24.541666666666668,2.315,48.91333333333333,45.05,50.568333333333335,2.708333333333333,0.9183333333333332,45.861666666666665,29.936666666666667,20.90333333333333,32.876666666666665,31.85666666666667,20.941666666666663,20.90833333333333,21.445,0.0,2.36,2.655,21.0,93.95
D7,89.37333333333332,44.53333333333333,33.34,0.5933333333333334,43.60666666666667,3.9566666666666666,26.271666666666665,4.443333333333333,45.41666666666666,20.626666666666665,19.376666666666665,0.5716666666666667,17.633333333333333,22.633333333333333,0.8200000000000001,47.005,43.141666666666666,48.66,2.478333333333333,4.216666666666667,43.95333333333333,28.02833333333333,18.995,30.96833333333333,29.94833333333333,19.03333333333333,19.0,19.53666666666667,3.9866666666666655,0.0,1.0733333333333337,19.091666666666665,92.04166666666669
P86,90.445,45.60666666666667,34.41166666666666,0.8883333333333333,44.67833333333333,3.716666666666667,27.34333333333333,4.201666666666666,46.48833333333334,21.69833333333333,20.44833333333333,0.8683333333333334,18.705,23.705,0.565,48.07666666666667,44.21333333333334,49.73166666666667,2.775,3.975,45.025,29.1,20.066666666666663,32.04,31.021666666666665,20.105,20.071666666666665,20.60833333333333,3.746666666666667,1.0733333333333337,0.0,20.16333333333333,93.11333333333332
RE,73.08999999999999,39.82833333333333,17.056666666666665,23.53,38.90166666666666,25.545,23.32333333333333,26.03,40.71,2.896666666666667,3.0933333333333333,23.551666666666662,2.4433333333333334,6.35,24.078333333333333,42.3,37.93,43.955000000000005,23.185,24.87833333333333,42.38,11.745,0.97,14.685,13.666666666666666,0.8666666666666667,0.8983333333333333,3.253333333333333,25.575,23.80333333333333,24.418333333333333,0.0,75.75833333333334
CD,4.995,106.01833333333336,93.23833333333332,112.41,102.94333333333334,114.425,102.60166666666667,114.91,106.48833333333332,91.77666666666669,93.69166666666666,112.43166666666666,93.51833333333336,90.59833333333331,112.95833333333331,106.34166666666668,101.97166666666666,107.99666666666668,112.06666666666666,113.75833333333334,104.05,87.92666666666668,92.475,90.86833333333334,89.84833333333333,93.30666666666666,93.33833333333334,94.11166666666666,114.455,112.68333333333334,113.3,93.085,0.0
