0.0,0.9621000000000001,1.2985,0.0052,0.9608,0.5075,1.1185999999999998,1.1630999999999998,0.1482,0.2221,63.298,65.2108
0.8726,0.0,0.5856,0.8777999999999999,0.0013,1.1275,0.4057,0.4502,1.0208,1.0947,64.082,65.9948
1.209,0.5856,0.0,1.2142,0.5844,1.4639000000000002,0.467,0.1354,1.3573,1.4310999999999998,64.4184,66.3313
0.0052,0.9672999999999999,1.3037,0.0,0.966,0.5127,1.1238,1.1683,0.143,0.2169,63.292699999999996,65.2056
0.8713,0.0013,0.5844,0.8766,0.0,1.1262999999999999,0.4044,0.449,1.0196,1.0935,64.0807,65.9936
0.4794,0.9431,1.2795,0.48460000000000003,0.9418,0.0,0.8041,1.1441,0.6277,0.7015,63.2621,65.175
1.0291,0.4057,0.467,1.0343,0.4044,1.284,0.0,0.3316,1.1773,1.2512,64.2385,66.1514
1.0735999999999999,0.4502,0.1354,1.0788,0.449,1.3285,0.3316,0.0,1.2218,1.2957,64.283,66.1959
0.1482,1.1103,1.4467999999999999,0.143,1.1091,0.6557999999999999,1.2668,1.3113,0.0,0.26830000000000004,63.15,65.0629
0.2221,1.05,1.3864,0.2169,1.0487,0.7296,1.2065,1.251,0.26830000000000004,0.0,63.418,65.3309
65.7619,66.3768,66.7132,65.7671,66.3756,65.6098,66.1653,66.5778,65.6542,65.984,0.0,2.2586999999999997
68.83160000000001,69.4465,69.7829,68.8368,69.4452,68.6795,69.235,69.6475,68.7239,69.05369999999999,2.6261,0.0
